Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,Variable_F,Variable_G
practice plan associate,8 years,,,,,40505198
Instructional Design Manager,2 years,,,,,59741956
Director of finance ,3 years,,,,9.0,65427520
Regulatory Specialist,5 years,,,,37.0,63305208
HCSO,3 years,"  Borrower added on 04/22/12 > Hi and thanks for reading my loan request.<br><br>This loan is to refinance an existing outstanding credit card with an APR of 19.99%.<br><br>Other than a deed-in-lieu of (FL real estate market), we have no other late pays. I have a very stable job with a local government agency with very good job security.<br>",,,7.0,1470212
broadcast engineer,10+ years,,,,,14460410
Rgm,6 years,,,,,28530826
US Postal service,9 years,"  Borrower added on 03/07/13 > My loan will be used to consolidate all of my debt. I will pay off my credit cards, my car loan and personnel loans from family and friends.<br>",,,19.0,4597477
Hatton High School,10+ years,  Borrower added on 10/24/12 > consolidation higher interest credit cards into one payment<br>,,,53.0,1959571
Western EcoSystem Technology  Inc,2 years, ,,,,622594
Clinical Performance Analyst,< 1 year,,,,2.0,23293623
,2 years,,,,,6436809
Officer,6 years,,,,,44039060
Major,10+ years,,,,,37446636
Advanced advertising manager,7 years,,,,83.0,52972415
Referral Manager,< 1 year,,,,,30214019
,,,,,,67678879
State Farm Insurance,< 1 year,,,,78.0,5483308
Financial Counselor,2 years,,,,54.0,62139591
owner,4 years,,,,,31237495
Hartford steam boiler,5 years,  Borrower added on 02/26/13 > I have had several credit card debt for ever and would like to pay off most credit cards and obtain a better credit score.<br>,,,49.0,4527342
Sanford Health,10+ years,,,,,5478376
Service Tech,10+ years,,,,,68401843
Portfolio Manager,5 years,,,72.9,15.0,70854795
rallys hamburgers,7 years,"  Borrower added on 04/19/13 > Hi,<br>My loan is to payoff credit cards so I can make just one big payment a month. With better interests rate offered by the Lending Club, I will be able to make payments higher than usual and therefore paying the full balance in less than  3 years. Thanks.<br>",,,,5697150
Material Damage Appraiser III,2 years,,,,28.0,10779386
,,,,,27.0,35003795
Boom Truck Opp.,10+ years,,,,,14510048
Creative Concrete Solutions,1 year,"  Borrower added on 05/12/10 > I am using this money towards the purchase of a work truck. My boss has said he will give me an immediate raise if I buy a truck and make me much more valuable to the company.<br/><br/>I made all 72 payments on my last vehicle, which were almost twice the amount of this one. I never missed a single payment, which is why my credit score is so high.<br/><br/>Thank you<br/>",,,,667620
Truck driver ,10+ years,,,,,51261135
STORE MANAGER,5 years,,,,,66312569
Interactive Designer,2 years,,,,28.0,10756862
Data Analyst,1 year,,,,51.0,46963401
Director,3 years,,,,78.0,38781257
,,,,,,29993940
Business Manager ,2 years,,,,16.0,56096162
,,,,,,4219816
Intel,8 years,,,,,4586239
dock hand ,10+ years,,,,,67768683
,10+ years,,,,,13687003
Owner,10+ years,,,,,30555400
,7 years,,,,46.0,63239542
pharmacy technician,7 years,,,,82.0,45252462
Executive Assistant,5 years,,,,,65598756
Journeyman Lineman,10+ years,,,,43.0,59962029
Fiscal Assi.,2 years,,,,33.0,19325526
President,6 years,,,,,19375823
Teacher Retirement System of TX ,5 years,,,,66.0,4225713
,,,,,78.0,22501123
Mailhandler,10+ years,,,,,51982883
linehaul truck driver,7 years,,,,70.0,22861799
Personal Banker,5 years,,,,,9897705
Hourly,7 years,,,,,70325368
Management,8 years,,,,18.0,69575597
Comm-Works LLC,2 years,,,,,3416719
Customer Service Coordinator,10+ years,,,,34.0,31307252
owner,10+ years,,,,,43936191
Peoria County State's Attorney,10+ years,  Borrower added on 07/17/13 > I am taking over somone else's debt and consolidating that with other bills of my own.<br>,,,,7937012
Financial Representative,3 years,,,,,33880911
Attorney,4 years,,,,51.0,40956214
,,,,,30.0,66762016
Computer Technician,6 years,,,,,48004264
,10+ years,  Borrower added on 11/29/12 > I would like to consolidate my credit card debt into one monthly payment.<br>,,,19.0,2727148
Machine operator,10+ years,,,,39.0,15269208
PRSA,3 years,,,,,3740088
the Rodon group,10+ years,  Borrower added on 12/26/12 > like many other Americans I'm feeling the squeeze from the economy ..I take pride in paying my bills on time .it will be a tremendous help to have 1 monthly payment and the knowledge that all my bills are paid off thanks for  the opportunity to fulfill my greatest  wish for the new year<br>,,,,3408152
Legal Assistant,3 years,,,,29.0,18744621
RN,4 years,,,,6.0,16742963
RN Coordinator,3 years,,,,33.0,46596157
superviser,10+ years,,,,27.0,41392488
analyst,10+ years,,,,11.0,17613509
Teacher,6 years,,,,,59661534
Crew,2 years,,,,47.0,67685920
Premises Technician,5 years,,,,9.0,59730543
Supervisor,10+ years,,,,,62070027
Teacher,9 years,,,,,47691701
Senior Engineer,10+ years,,,,,71206596
Manager,10+ years,,,,,12826910
account manager,5 years,,,,5.0,34691283
Manager,10+ years,,,,,42546030
United Technologies Aerospace,10+ years,  Borrower added on 12/16/12 > Debt concolodation<br>,,,9.0,2979211
Teacher,8 years,,,,22.0,13227285
Sales,5 years,,,,14.0,37127278
Director of banquets,2 years,,,,24.0,45251247
Custodian,10+ years,,,,,51952913
Sr. Sales Manager,8 years,,,,39.0,40801311
Business Analyst,4 years,,,,9.0,69930564
Assistant AMP Admin,4 years,,,,26.0,55436023
Timet,5 years,"  Borrower added on 02/20/12 > current lending club loan payoff is 8471, not counting a payment that will go through tomorrow. the rate on that loan is 15.65% and 19.34% apr. i would like to refinance that loan at this 6.62% rate. Thanks in advance!!<br><br>  Borrower added on 02/23/12 > The old payment is 381. The new payment will be 261. That is a monthly reduction of 120.<br>",,,,1391447
manager,10+ years,,,,,70769074
A/R SPECIALIST,10+ years,,,,76.0,47993690
Doctors hospital,5 years,"  Borrower added on 04/14/10 > I plan to use this money for debt consolidation.I have a very stable job in the medical field as an x-ray tech.  I am highly regarded by my peers as a hard working individual.I promise to repay the money I have borrowed in a timely manner.You will not be disappointed for I am a trustworthy person,and thankyou for your assisatance<br/> Borrower added on 04/23/10 > I just wanted to thank everyone who has currently invested and those who will invest in my loan.thankyou very much<br/>",,,,648737
Dentist,3 years,,,,37.0,33750253
Senior Project Manager,< 1 year,,,,27.0,52375719
Senior Manager of Client Engagement,2 years,,,,11.0,67672261
VICE PRESIDENT,10+ years,,,,,19986307
controller,5 years,,,,,17181770
BOWA,9 years,"  Borrower added on 07/15/13 > This loan will reduce three monthly payments into one, resulting in savings of $600 per month and increased cash flow.<br><br>  Borrower added on 07/17/13 > It's great to see so many investors supporting my goal; thank you very much...we're almost there!<br>",,,,7831170
Instructor,2 years,,,87.5,42.0,72749112
Dean of Students ,4 years,,,,71.0,29492814
carpenter,4 years,,,,9.0,32268443
Her assistant,6 years,,,,64.0,71348929
Relationship Banker ,10+ years,,,,,59669496
Architect,3 years,,,,9.0,65643019
educator,7 years,,,,9.0,25426318
Paralegal Specialist,10+ years,,,,80.0,52144866
Janitorial supervisor,10+ years,,,,,38821050
flight test engineer,10+ years,,,,71.0,22099939
Baystate Health,10+ years,  Borrower added on 04/23/13 > I built up some credit card debt due to home improvement projects.  I wanted to get to a lower rate without opening additional credit cards.<br>,,,,5818106
Cashier,3 years,,,,40.0,67751512
Buyer associate,2 years,,,,,23022602
HANDLER,7 years,,,,,21488872
SVP Business Admin,8 years,,,,16.0,40363884
Senior Clerk,10+ years,,,,73.0,53946743
Consultant Systems engineer,10+ years,,,,7.0,60324527
Territory Manager,< 1 year,,,,,59744688
Executive director internal audit,10+ years,  Borrower added on 03/10/14 > Loan is for debt consolidation.  Debt is from personal event that is over and we want to pay it off ASAP.  Currently been employed at same job for over 10 years and have another Lending Club loan that is in good standing; no late payments.  Payment of loan less than current budgeted payments.<br>,,,,14709199
Operation Supervisor,10+ years,,,,16.0,9856734
perfect health PC,1 year,,,,66.0,5799065
Physician,< 1 year,,,,,18123178
Security,9 years,,,,25.0,16861290
"VP, Product Management",5 years,,,,,65483070
Pricing Analyst I,< 1 year,,,,,65557157
Project Management - Minor Enhancements,10+ years,,,,3.0,60367051
Sr. Computer Opp.,10+ years,,,,27.0,54484854
CEO,4 years,,,,,60918726
St. Anthony Hospital,8 years,,,,13.0,6027478
assistant  center  manager  ,10+ years,,,,,53512127
Attorney,6 years,,,,14.0,23442515
US GOVT/DOT/FAA SAT ATCT,10+ years,,,,,4587016
Educator,10+ years,,,,16.0,13367635
clark pacific,5 years,,,,,5481621
teller,10+ years,,,,,45411429
Customer Service Manager,10+ years,,,,30.0,15208357
Warehouse manager,9 years,,,,,17561789
,,,,,,18274281
Operations Consultant,10+ years,,,,,61824720
Medical assistant,6 years,,,,,14897880
machinist,10+ years,,,,75.0,57115528
"Rice Pugatch Robinson & Schiller, P.A.",2 years,,,,,4173950
Claims Representative,< 1 year,,,,,41045168
Regional Sales Manager,1 year,,,,29.0,16040165
Sr. Financial Analyst,3 years,,,,,53944848
teacher,10+ years,,,,,41165444
IT Director,2 years,,,,,69593927
,,,,,7.0,58789148
IT-TechIII,4 years,,,,30.0,59748841
Team OTR Driver,< 1 year,,,,26.0,55407783
Food Clerk,10+ years,,,,,64090138
Field Service Rep,3 years,,,,6.0,71279070
Healthcare Economist,< 1 year,,,94.9,,72767807
Inside Account Manager,10+ years,,,,19.0,20127233
Ironworkers Local #420,10+ years,,,,,6377138
Blue Star Properties,1 year,  Borrower added on 09/13/13 > Credit card refinancing<br>,,,36.0,8949145
Credit Specialist,10+ years,,,,21.0,50106415
Account Manager,1 year,,,,,39314111
Database Administrator,2 years,,,,,55298394
,4 years,,,,39.0,13620373
QA Inspector,9 years,,,,,17251572
RN CASEMANAGER,10+ years,,,,,38972105
VP Specialized Services,3 years,,,,,63910450
store manager,10+ years,,,,73.0,57677873
Registered Nurse,< 1 year,,,,25.0,12529808
security guard,6 years,,,,,54665329
co!,6 years,,,,,10770256
Logistics Specialist,10+ years,,,,33.0,69515795
willie kitchen,6 years,  Borrower added on 05/09/13 > i need help with a personal matter<br><br> Borrower added on 05/09/13 > need to pay  a lawyer<br><br> Borrower added on 05/09/13 > home improvementas well as yard repair and porch<br>,,,,6333463
Provider Contracting Representative,6 years,,,,,65982008
New York City Opera,10+ years,  Borrower added on 05/20/13 > To become debt free.<br>,,,11.0,6737502
SECRETARY,< 1 year,,,,,52475900
Underwriter,1 year,,,,74.0,70366061
Teacher,10+ years,,,,,17963226
President,7 years,,,,,28782570
Specialty Hospital Washington,10+ years,  Borrower added on 06/27/13 > To pay off a very high interest rate credit card<br>,,,10.0,1741194
General Manager,8 years,,,,11.0,21648735
Customer Service,7 years,,,,,67976050
Assistant Project Manager,< 1 year,,,,,39323847
Global Director IT Services,2 years,,,65.5,36.0,72980849
General Manager,10+ years,,,,,68369764
supervisor,4 years,,,,,64252616
Police service representative ,4 years,,,,,71349855
Shipping Clerk,7 years,,,,63.0,61537152
machinist,10+ years,,,,,10361493
,,,,,,59671255
,,,,,,15098225
Crystal Rock LLC,10+ years,,,,,1740525
Millwright [ Maintenance Mechanic ],10+ years,,,,,67596356
MES II,4 years,,,,,13328866
Pastor,10+ years,,,,,23673462
Mechanic,10+ years,,,,16.0,64982988
O'reilly Auto Parts,1 year,,,,,7757510
VP dealer relations,10+ years,,,,54.0,41232912
ADMIN,5 years,,,,,68620729
St. Dominic Village Nursing Home,1 year,,,,43.0,7421527
"Sales, Sales Support Manager",4 years,,,,,13667294
Fire Fighter,10+ years,,,,64.0,65510262
,,,,,,23042181
Project Manager,3 years,,,,44.0,26377159
Senior Wildlife Biologist,9 years,,,,,64322671
Insurance Agent,6 years,,,,27.0,57768920
Care Associate,4 years,,,,13.0,56892397
Engineer,10+ years,,,,,24565767
Supervisor,10+ years,,,,,68388950
server,7 years,,,,,67139664
Facility Maintenance Analyst,9 years,,,,8.0,21098038
,,,,,54.0,52528230
Energy Resource Technology,10+ years,  Borrower added on 11/12/12 > debt consolidation<br>,,,44.0,2287539
QC Tech,8 years,  Borrower added on 01/28/14 > I would like to use this loan to pay off my credit cards and get out from under this debt.<br>,,,,12846740
Maintenance Director,2 years,,,,18.0,9147270
Visual Manager,10+ years,,,,35.0,34772720
IS Director,10+ years,,,,17.0,67667072
Driver ,2 years,,,,81.0,55246371
Store Manager ,10+ years,,,,44.0,64192209
network engineer/planner,5 years,,,,68.0,22972217
IT analyst,10+ years,,,,72.0,57274896
Principal ,9 years,,,,19.0,43887385
Financial planner,2 years,,,,9.0,68529632
Teacher,4 years,,,,,47853622
Senior service associate ,10+ years,,,,42.0,23392269
Equipment Specialist,6 years,,,,21.0,28651440
H.R. Director/City Recorder,10+ years,,,,,47571626
Amtrust North America,2 years,  Borrower added on 08/24/13 > I need to consolidate my debt and get a fresh start. I like the idea of all payments being fixed as well.<br>,,,,8317779
Instructional Designer,< 1 year,,,,74.0,15399572
,,,,,8.0,65642236
Surgical Technician,6 years,,,,70.0,13678493
Machinst Team Leader,10+ years,,,,,63880207
President,6 years,,,,36.0,16642850
GlaxoSmithKline,< 1 year,"i am attempting to sever my ties with Bank of America, at least my credit ties to them.  Currently I am paying 22.24% on $20k, I am sure I can do better than this elsewhere.  I have a credit score of 723 (on credit expert.com) ",,,20.0,401988
Claims Assistant,10+ years,,,,34.0,38700093
CNC Machinist,10+ years,,,,27.0,19635692
Bilingual Teacher,3 years,,,,2.0,69604748
Data Governance Business Analyst,10+ years,,,,,15469118
Grants Technician,3 years,,,,0.0,41288199
Sr. Financial Analyst,3 years,,,,26.0,19616034
,,"  Borrower added on 02/25/14 > My main purpose for this loan, is to payoff three of my credit cards.<br>",,,56.0,14457798
